"E-8 City/County/State Population and Housing Estimates, 4/1/1990 to 4/1/2000",,,,,,,,,,,
,,------------POPULATION------------,,,---------------------------------- HOUSING UNITS ----------------------------------,,,,,,PERSONS PER HOUSEHOLD
,1/1/1997,"746,762","726,231","20,531","338,705","109,094","229,196",415,"319,170",5.77%,2.275
,1/1/1998,"753,810","733,503","20,307","340,479","109,825","230,195",459,"321,998",5.43%,2.278
,1/1/1999,"762,359","742,333","20,026","342,742","110,547","231,691",504,"325,004",5.18%,2.284
,1/1/2000,"773,312","753,493","19,819","345,579","111,244","233,786",549,"328,592",4.92%,2.293
,4/1/2000,"776,733","756,976","19,757","346,527","111,405","234,562",560,"329,700",4.86%,2.296
,,,,,,,,,,,
San Francisco,4/1/1990,"723,959","699,330","24,629","328,471","105,150","223,208",113,"305,584",6.97%,2.289
County Total,1/1/1991,"724,593","700,802","23,791","330,616","105,568","224,901",147,"308,278",6.76%,2.273
,1/1/1992,"728,487","705,475","23,012","332,776","106,102","226,483",191,"311,055",6.53%,2.268
,1/1/1993,"736,629","713,506","23,123","334,045","106,718","227,091",236,"313,045",6.29%,2.279
,1/1/1994,"742,795","720,650","22,145","334,922","107,258","227,383",281,"314,643",6.05%,2.290
,1/1/1995,"741,615","719,639","21,976","336,188","107,806","228,057",325,"316,288",5.92%,2.275
,1/1/1996,"741,971","721,006","20,965","337,616","108,426","228,820",370,"318,025",5.80%,2.267
,1/1/1997,"746,762","726,231","20,531","338,705","109,094","229,196",415,"319,170",5.77%,2.275
,1/1/1998,"753,810","733,503","20,307","340,479","109,825","230,195",459,"321,998",5.43%,2.278
,1/1/1999,"762,359","742,333","20,026","342,742","110,547","231,691",504,"325,004",5.18%,2.284
,1/1/2000,"773,312","753,493","19,819","345,579","111,244","233,786",549,"328,592",4.92%,2.293
,4/1/2000,"776,733","756,976","19,757","346,527","111,405","234,562",560,"329,700",4.86%,2.296
,,,,,,,,,,,
San Joaquin,4/1/1990,"4,437","4,437",0,"1,640","1,272",224,144,"1,596",2.68%,2.780
Escalon,1/1/1991,"4,685","4,683",2,"1,726","1,357",226,143,"1,678",2.78%,2.791
,1/1/1992,"4,900","4,895",5,"1,782","1,412",228,142,"1,731",2.86%,2.828
,1/1/1993,"4,936","4,929",7,"1,800","1,426",232,142,"1,747",2.94%,2.821
,1/1/1994,"5,047","5,037",10,"1,841","1,466",234,141,"1,784",3.10%,2.823
,1/1/1995,"5,233","5,221",12,"1,902","1,525",237,140,"1,842",3.15%,2.834
,1/1/1996,"5,323","5,308",15,"1,928","1,550",239,139,"1,866",3.22%,2.845
,1/1/1997,"5,443","5,425",18,"1,970","1,590",242,138,"1,904",3.35%,2.849
,1/1/1998,"5,605","5,585",20,"2,019","1,637",245,137,"1,950",3.42%,2.864
,1/1/1999,"5,810","5,787",23,"2,084","1,701",247,136,"2,012",3.45%,2.876
,1/1/2000,"5,914","5,889",25,"2,113","1,727",251,135,"2,038",3.55%,2.890
,4/1/2000,"5,963","5,937",26,"2,132","1,746",251,135,"2,056",3.56%,2.888
,,,,,,,,,,,
San Joaquin,4/1/1990,"6,841","6,804",37,"2,040","1,636",115,289,"1,927",5.54%,3.531
Lathrop,1/1/1991,"7,018","6,983",35,"2,095","1,687",114,294,"1,986",5.20%,3.516
,1/1/1992,"7,063","7,031",32,"2,091","1,679",111,301,"1,990",4.83%,3.533
,1/1/1993,"7,434","7,408",26,"2,186","1,770",109,307,"2,088",4.48%,3.548
,1/1/1994,"8,410","8,385",25,"2,497","2,078",106,313,"2,390",4.29%,3.508
,1/1/1995,"8,713","8,689",24,"2,598","2,169",110,319,"2,494",4.00%,3.484
,1/1/1996,"9,031","9,010",21,"2,670","2,231",114,325,"2,570",3.75%,3.506
,1/1/1997,"9,172","9,153",19,"2,694","2,251",112,331,"2,601",3.45%,3.519
,1/1/1998,"9,508","9,492",16,"2,767","2,321",109,337,"2,678",3.22%,3.544
,1/1/1999,"9,786","9,773",13,"2,823","2,373",107,343,"2,740",2.94%,3.567
,1/1/2000,"10,278","10,267",11,"2,944","2,491",104,349,"2,862",2.79%,3.587
,4/1/2000,"10,445","10,435",10,"2,991","2,536",104,351,"2,908",2.77%,3.588
,,,,,,,,,,,
San Joaquin,4/1/1990,"51,874","49,991","1,883","19,676","12,999","6,178",499,"19,001",3.43%,2.631
Lodi,1/1/1991,"52,351","50,566","1,785","19,889","13,155","6,238",496,"19,210",3.41%,2.632
,1/1/1992,"52,634","50,931","1,703","19,913","13,209","6,212",492,"19,238",3.39%,2.647
,1/1/1993,"52,526","50,905","1,621","19,971","13,298","6,185",488,"19,297",3.37%,2.638
,1/1/1994,"52,460","50,922","1,538","19,983","13,341","6,158",484,"19,313",3.35%,2.637
,1/1/1995,"52,912","51,456","1,456","20,145","13,537","6,128",480,"19,473",3.34%,2.642
,1/1/1996,"53,505","52,131","1,374","20,311","13,732","6,102",477,"19,638",3.31%,2.655
,1/1/1997,"53,856","52,565","1,291","20,436","13,882","6,081",473,"19,763",3.29%,2.660
,1/1/1998,"54,394","53,185","1,209","20,555","14,029","6,057",469,"19,882",3.27%,2.675
,1/1/1999,"55,533","54,406","1,127","20,918","14,226","6,227",465,"20,238",3.25%,2.688
,1/1/2000,"56,361","55,316","1,045","21,166","14,499","6,206",461,"20,482",3.23%,2.701
,4/1/2000,"57,011","55,987","1,024","21,381","14,675","6,242",464,"20,695",3.21%,2.705
,,,,,,,,,,,
San Joaquin,4/1/1990,"40,773","40,545",228,"13,981","10,015","3,314",652,"13,440",3.87%,3.017
Manteca,1/1/1991,"41,415","41,171",244,"14,275","10,287","3,320",668,"13,729",3.82%,2.999
,1/1/1992,"41,800","41,536",264,"14,369","10,363","3,316",690,"13,829",3.76%,3.004
,1/1/1993,"42,658","42,325",333,"14,722","10,504","3,507",711,"14,177",3.70%,2.985
,1/1/1994,"43,252","42,899",353,"14,997","10,768","3,496",733,"14,449",3.65%,2.969
,1/1/1995,"43,848","43,475",373,"15,202","10,953","3,494",755,"14,655",3.60%,2.967
,1/1/1996,"44,505","44,112",393,"15,404","11,137","3,491",776,"14,858",3.54%,2.969
,1/1/1997,"45,558","45,145",413,"15,781","11,502","3,480",799,"15,229",3.50%,2.964
,1/1/1998,"46,516","46,084",432,"16,062","11,773","3,469",820,"15,507",3.46%,2.972
,1/1/1999,"47,404","46,952",452,"16,328","12,028","3,458",842,"15,773",3.40%,2.977
,1/1/2000,"48,777","48,305",472,"16,762","12,450","3,448",864,"16,198",3.36%,2.982
,4/1/2000,"49,255","48,778",477,"16,936","12,622","3,445",869,"16,367",3.36%,2.980
,,,,,,,,,,,
San Joaquin,4/1/1990,"7,455","7,454",1,"2,567","2,163",401,3,"2,466",3.93%,3.023
Ripon,1/1/1991,"7,866","7,857",9,"2,716","2,267",446,3,"2,613",3.79%,3.007
,1/1/1992,"8,097","8,077",20,"2,781","2,315",462,4,"2,682",3.56%,3.012
,1/1/1993,"8,176","8,145",31,"2,826","2,363",458,5,"2,731",3.36%,2.982
,1/1/1994,"8,306","8,264",42,"2,894","2,436",453,5,"2,802",3.18%,2.949
,1/1/1995,"8,668","8,615",53,"2,976","2,521",449,6,"2,886",3.02%,2.985
,1/1/1996,"8,889","8,825",64,"3,045","2,594",445,6,"2,958",2.86%,2.983
,1/1/1997,"9,050","8,975",75,"3,101","2,653",441,7,"3,018",2.68%,2.974
,1/1/1998,"9,349","9,263",86,"3,192","2,746",438,8,"3,111",2.54%,2.977
,1/1/1999,"9,691","9,594",97,"3,297","2,854",435,8,"3,218",2.40%,2.981
,1/1/2000,"10,065","9,957",108,"3,415","2,976",430,9,"3,336",2.31%,2.985
,4/1/2000,"10,158","10,047",111,"3,448","3,008",431,9,"3,370",2.26%,2.981
,,,,,,,,,,,
San Joaquin,4/1/1990,"210,943","206,207","4,736","72,525","44,871","26,325","1,329","68,794",5.14%,2.997
Stockton,1/1/1991,"213,359","208,576","4,783","73,195","45,615","26,254","1,326","69,486",5.07%,3.002
,1/1/1992,"219,795","214,860","4,935","74,596","46,873","26,401","1,322","70,894",4.96%,3.031
,1/1/1993,"221,862","216,583","5,279","75,390","47,870","26,203","1,317","71,725",4.86%,3.020
,1/1/1994,"223,396","218,058","5,338","76,316","48,948","26,055","1,313","72,680",4.76%,3.000
,1/1/1995,"227,397","222,369","5,028","77,280","50,099","25,872","1,309","73,674",4.67%,3.018
,1/1/1996,"230,731","225,834","4,897","78,312","51,330","25,677","1,305","74,729",4.58%,3.022
,1/1/1997,"233,992","229,093","4,899","79,448","52,511","25,636","1,301","75,885",4.48%,3.019
,1/1/1998,"237,326","232,233","5,093","80,239","53,425","25,518","1,296","76,713",4.39%,3.027
,1/1/1999,"239,722","234,540","5,182","80,801","54,208","25,301","1,292","77,324",4.30%,3.033
,1/1/2000,"242,827","237,531","5,296","81,661","55,246","25,126","1,289","78,176",4.27%,3.038
,4/1/2000,"243,771","238,455","5,316","82,042","55,680","25,074","1,288","78,556",4.25%,3.035
,,,,,,,,,,,
San Joaquin,4/1/1990,"33,558","33,378",180,"12,174","9,198","2,531",445,"11,208",7.93%,2.978
Tracy,1/1/1991,"35,871","35,686",185,"12,936","9,959","2,530",447,"11,983",7.37%,2.978
,1/1/1992,"38,006","37,804",202,"13,377","10,411","2,516",450,"12,485",6.67%,3.028
,1/1/1993,"40,455","40,235",220,"13,965","11,015","2,497",453,"13,123",6.03%,3.066
,1/1/1994,"42,111","41,874",237,"14,478","11,543","2,479",456,"13,693",5.42%,3.058
,1/1/1995,"44,546","44,292",254,"14,880","11,958","2,463",459,"14,159",4.85%,3.128
,1/1/1996,"45,949","45,678",271,"15,164","12,254","2,448",462,"14,517",4.27%,3.147
,1/1/1997,"47,428","47,139",289,"15,515","12,579","2,471",465,"14,937",3.73%,3.156
,1/1/1998,"48,962","48,656",306,"15,820","12,903","2,449",468,"15,316",3.19%,3.177
,1/1/1999,"51,959","51,636",323,"16,635","13,713","2,451",471,"16,163",2.84%,3.195
,1/1/2000,"56,070","55,729",341,"17,824","14,873","2,477",474,"17,354",2.64%,3.211
,4/1/2000,"56,929","56,584",345,"18,087","15,076","2,536",475,"17,620",2.58%,3.211
,,,,,,,,,,,
San Joaquin,4/1/1990,"355,881","348,816","7,065","124,603","82,154","39,088","3,361","118,432",4.95%,2.945
Incorporated,1/1/1991,"362,565","355,522","7,043","126,832","84,327","39,128","3,377","120,685",4.85%,2.946
,1/1/1992,"372,295","365,134","7,161","128,909","86,262","39,246","3,401","122,849",4.70%,2.972
,1/1/1993,"378,047","370,530","7,517","130,860","88,246","39,191","3,423","124,888",4.56%,2.967
,1/1/1994,"382,982","375,439","7,543","133,006","90,580","38,981","3,445","127,111",4.43%,2.954
,1/1/1995,"391,317","384,117","7,200","134,983","92,762","38,753","3,468","129,183",4.30%,2.973
,1/1/1996,"397,933","390,898","7,035","136,834","94,828","38,516","3,490","131,136",4.16%,2.981
,1/1/1997,"404,499","397,495","7,004","138,945","96,968","38,463","3,514","133,337",4.04%,2.981
,1/1/1998,"411,660","404,498","7,162","140,654","98,834","38,285","3,535","135,157",3.91%,2.993
,1/1/1999,"419,905","412,688","7,217","142,886","101,103","38,226","3,557","137,468",3.79%,3.002
,1/1/2000,"430,292","422,994","7,298","145,885","104,262","38,042","3,581","140,446",3.73%,3.012
,4/1/2000,"433,532","426,223","7,309","147,017","105,343","38,083","3,591","141,572",3.70%,3.011
,,,,,,,,,,,
San Joaquin,4/1/1990,"124,747","115,575","9,172","41,671","34,386","1,875","5,410","39,724",4.67%,2.909
Balance of County,1/1/1991,"125,378","116,190","9,188","41,938","34,686","1,842","5,410","39,970",4.69%,2.907
,1/1/1992,"126,321","116,913","9,408","41,983","34,740","1,794","5,449","40,002",4.72%,2.923
,1/1/1993,"127,754","117,683","10,071","42,203","34,844","1,755","5,604","40,201",4.74%,2.927
,1/1/1994,"128,068","118,082","9,986","42,344","35,019","1,708","5,617","40,324",4.77%,2.928
,1/1/1995,"126,609","116,063","10,546","42,352","35,082","1,657","5,613","40,320",4.80%,2.879
,1/1/1996,"127,434","116,515","10,919","42,281","35,097","1,600","5,584","40,242",4.82%,2.895
,1/1/1997,"128,068","116,656","11,412","42,208","35,084","1,542","5,582","40,161",4.85%,2.905
,1/1/1998,"128,449","117,151","11,298","42,103","35,034","1,487","5,582","40,050",4.88%,2.925
,1/1/1999,"129,313","118,007","11,306","42,158","35,091","1,433","5,634","40,091",4.90%,2.943
,1/1/2000,"130,342","118,990","11,352","42,254","35,271","1,379","5,604","40,172",4.93%,2.962
,4/1/2000,"130,066","118,604","11,462","42,143","35,181","1,362","5,600","40,057",4.95%,2.961
,,,,,,,,,,,
San Joaquin,4/1/1990,"480,628","464,391","16,237","166,274","116,540","40,963","8,771","158,156",4.88%,2.936
County Total,1/1/1991,"487,943","471,712","16,231","168,770","119,013","40,970","8,787","160,655",4.81%,2.936
,1/1/1992,"498,616","482,047","16,569","170,892","121,002","41,040","8,850","162,851",4.71%,2.960
,1/1/1993,"505,801","488,213","17,588","173,063","123,090","40,946","9,027","165,089",4.61%,2.957
,1/1/1994,"511,050","493,521","17,529","175,350","125,599","40,689","9,062","167,435",4.51%,2.948
,1/1/1995,"517,926","500,180","17,746","177,335","127,844","40,410","9,081","169,503",4.42%,2.951
,1/1/1996,"525,367","507,413","17,954","179,115","129,925","40,116","9,074","171,378",4.32%,2.961
,1/1/1997,"532,567","514,151","18,416","181,153","132,052","40,005","9,096","173,498",4.23%,2.963
,1/1/1998,"540,109","521,649","18,460","182,757","133,868","39,772","9,117","175,207",4.13%,2.977
,1/1/1999,"549,218","530,695","18,523","185,044","136,194","39,659","9,191","177,559",4.04%,2.989
,1/1/2000,"560,634","541,984","18,650","188,139","139,533","39,421","9,185","180,618",4.00%,3.001
,4/1/2000,"563,598","544,827","18,771","189,160","140,524","39,445","9,191","181,629",3.98%,3.000
,,,,,,,,,,,
San Luis Obispo,4/1/1990,"14,432","14,269",163,"6,075","4,515","1,032",528,"5,739",5.53%,2.486
Arroyo Grande,1/1/1991,"14,440","14,271",169,"6,118","4,553","1,035",530,"5,787",5.41%,2.466
,1/1/1992,"14,496","14,322",174,"6,144","4,572","1,040",532,"5,822",5.24%,2.460
,1/1/1993,"14,562","14,384",178,"6,148","4,570","1,044",534,"5,836",5.07%,2.465
,1/1/1994,"14,572","14,390",182,"6,175","4,590","1,049",536,"5,872",4.91%,2.451
,1/1/1995,"14,669","14,482",187,"6,206","4,615","1,053",538,"5,911",4.75%,2.450
,1/1/1996,"14,708","14,517",191,"6,237","4,639","1,058",540,"5,950",4.60%,2.440
,1/1/1997,"14,989","14,793",196,"6,345","4,694","1,109",542,"6,062",4.46%,2.440
,1/1/1998,"15,216","15,016",200,"6,436","4,778","1,114",544,"6,158",4.32%,2.438
,1/1/1999,"15,397","15,193",204,"6,537","4,873","1,118",546,"6,264",4.18%,2.425
,1/1/2000,"15,760","15,551",209,"6,708","5,037","1,123",548,"6,435",4.07%,2.417
,4/1/2000,"15,851","15,641",210,"6,750","5,064","1,138",548,"6,478",4.03%,2.414
,,,,,,,,,,,
San Luis Obispo,4/1/1990,"23,138","22,876",262,"8,875","6,202","2,073",600,"8,484",4.41%,2.696
Atascadero,1/1/1991,"23,103","22,763",340,"8,979","6,306","2,077",596,"8,592",4.31%,2.649
,1/1/1992,"23,484","23,023",461,"9,086","6,416","2,079",591,"8,706",4.18%,2.644
,1/1/1993,"23,784","23,202",582,"9,148","6,487","2,075",586,"8,778",4.04%,2.643
,1/1/1994,"24,033","23,331",702,"9,231","6,581","2,069",581,"8,868",3.93%,2.631
,1/1/1995,"24,665","23,842",823,"9,310","6,666","2,068",576,"8,956",3.80%,2.662
,1/1/1996,"24,947","24,004",943,"9,400","6,769","2,060",571,"9,053",3.69%,2.651
,1/1/1997,"25,345","24,271","1,074","9,494","6,864","2,063",567,"9,154",3.58%,2.651
,1/1/1998,"25,687","24,492","1,195","9,580","6,959","2,059",562,"9,250",3.44%,2.648
,1/1/1999,"25,925","24,610","1,315","9,671","7,059","2,055",557,"9,348",3.34%,2.633
,1/1/2000,"26,304","24,868","1,436","9,811","7,208","2,051",552,"9,493",3.24%,2.620
,4/1/2000,"26,411","24,945","1,466","9,848","7,235","2,062",551,"9,531",3.22%,2.617
,,,,,,,,,,,
San Luis Obispo,4/1/1990,"18,583","18,529",54,"7,599","5,181","2,094",324,"6,984",8.09%,2.653
El Paso de Robles,1/1/1991,"19,873","19,013",860,"7,829","5,409","2,098",322,"7,231",7.64%,2.629
,1/1/1992,"20,364","19,507",857,"7,960","5,502","2,139",319,"7,399",7.05%,2.636
,1/1/1993,"20,747","19,822",925,"7,987","5,539","2,148",300,"7,472",6.45%,2.653
,1/1/1994,"20,988","20,030",958,"8,000","5,549","2,154",297,"7,532",5.85%,2.659
,1/1/1995,"21,653","20,678",975,"8,089","5,629","2,166",294,"7,661",5.29%,2.699
,1/1/1996,"22,050","21,057",993,"8,173","5,704","2,178",291,"7,786",4.74%,2.704
,1/1/1997,"22,577","21,597",980,"8,289","5,815","2,185",289,"7,940",4.21%,2.720
,1/1/1998,"22,963","22,007",956,"8,363","5,889","2,188",286,"8,056",3.67%,2.732
,1/1/1999,"23,565","22,664",901,"8,575","6,098","2,194",283,"8,298",3.23%,2.731
,1/1/2000,"24,109","23,191",918,"8,735","6,257","2,197",281,"8,493",2.77%,2.731
,4/1/2000,"24,297","23,370",927,"8,791","6,312","2,199",280,"8,556",2.67%,2.731
,,,,,,,,,,,
San Luis Obispo,4/1/1990,"11,602","11,561",41,"4,925","3,263","1,403",259,"4,493",8.77%,2.573
Grover Beach,1/1/1991,"11,659","11,612",47,"4,987","3,331","1,398",258,"4,558",8.60%,2.548
,1/1/1992,"11,892","11,836",56,"5,046","3,402","1,387",257,"4,624",8.36%,2.560
,1/1/1993,"12,064","12,000",64,"5,091","3,460","1,375",256,"4,676",8.15%,2.566
,1/1/1994,"12,303","12,230",73,"5,099","3,482","1,363",254,"4,694",7.94%,2.605
,1/1/1995,"12,164","12,083",81,"5,120","3,515","1,352",253,"4,724",7.73%,2.558
,1/1/1996,"12,224","12,134",90,"5,126","3,539","1,335",252,"4,742",7.49%,2.559
,1/1/1997,"12,452","12,354",98,"5,183","3,610","1,322",251,"4,804",7.31%,2.572
,1/1/1998,"12,673","12,566",107,"5,242","3,682","1,310",250,"4,870",7.10%,2.580
,1/1/1999,"12,880","12,765",115,"5,320","3,774","1,298",248,"4,952",6.92%,2.578
,1/1/2000,"13,031","12,907",124,"5,371","3,839","1,285",247,"5,010",6.72%,2.576
,4/1/2000,"13,067","12,941",126,"5,382","3,853","1,282",247,"5,023",6.67%,2.576
,,,,,,,,,,,
San Luis Obispo,4/1/1990,"9,664","9,379",285,"5,694","3,949",948,797,"4,486",21.22%,2.091
Morro Bay,1/1/1991,"9,676","9,386",290,"5,769","3,981",994,794,"4,550",21.13%,2.063
,1/1/1992,"9,791","9,511",280,"5,847","4,060",997,790,"4,619",21.00%,2.059
,1/1/1993,"9,889","9,619",270,"5,878","4,086","1,005",787,"4,650",20.89%,2.069
,1/1/1994,"9,946","9,686",260,"5,922","4,126","1,013",783,"4,692",20.77%,2.064
,1/1/1995,"9,749","9,499",250,"5,945","4,145","1,021",779,"4,717",20.66%,2.014
,1/1/1996,"9,843","9,603",240,"5,991","4,181","1,035",775,"4,761",20.53%,2.017
,1/1/1997,"9,975","9,745",230,"6,050","4,217","1,062",771,"4,805",20.58%,2.028
,1/1/1998,"10,097","9,877",220,"6,098","4,259","1,071",768,"4,850",20.47%,2.036
,1/1/1999,"10,168","9,958",210,"6,142","4,320","1,058",764,"4,891",20.37%,2.036
,1/1/2000,"10,311","10,111",200,"6,230","4,389","1,081",760,"4,968",20.26%,2.035
,4/1/2000,"10,350","10,152",198,"6,251","4,409","1,083",759,"4,986",20.24%,2.036
,,,,,,,,,,,
San Luis Obispo,4/1/1990,"7,669","7,625",44,"4,548","2,857",943,748,"3,741",17.74%,2.038
Pismo Beach,1/1/1991,"7,643","7,600",43,"4,659","2,941",945,773,"3,810",18.22%,1.995
,1/1/1992,"7,670","7,629",41,"4,755","3,007",941,807,"3,861",18.80%,1.976
,1/1/1993,"7,734","7,695",39,"4,831","3,046",944,841,"3,895",19.37%,1.976
,1/1/1994,"7,773","7,735",38,"4,883","3,068",940,875,"3,908",19.97%,1.979
,1/1/1995,"7,981","7,945",36,"4,963","3,119",935,909,"3,945",20.51%,2.014
,1/1/1996,"8,093","8,059",34,"5,071","3,198",930,943,"4,004",21.04%,2.013
,1/1/1997,"8,233","8,200",33,"5,176","3,274",925,977,"4,062",21.52%,2.019
,1/1/1998,"8,285","8,254",31,"5,233","3,331",891,"1,011","4,080",22.03%,2.023
,1/1/1999,"8,395","8,366",29,"5,348","3,415",888,"1,045","4,145",22.49%,2.018
,1/1/2000,"8,537","8,510",27,"5,478","3,491",908,"1,079","4,223",22.91%,2.015
,4/1/2000,"8,551","8,524",27,"5,496","3,503",906,"1,087","4,230",23.03%,2.015
,,,,,,,,,,,
San Luis Obispo,4/1/1990,"41,958","40,478","1,480","17,877","9,365","6,982","1,530","16,952",5.17%,2.388
San Luis Obispo,1/1/1991,"42,125","40,615","1,510","18,119","9,532","7,059","1,528","17,206",5.04%,2.361
,1/1/1992,"42,645","41,097","1,548","18,234","9,580","7,129","1,525","17,349",4.85%,2.369
,1/1/1993,"42,911","41,325","1,586","18,322","9,630","7,170","1,522","17,465",4.68%,2.366
,1/1/1994,"43,208","41,584","1,624","18,413","9,701","7,192","1,520","17,586",4.49%,2.365
,1/1/1995,"42,096","40,434","1,662","18,515","9,753","7,245","1,517","17,716",4.32%,2.282
,1/1/1996,"42,371","40,671","1,700","18,624","9,838","7,272","1,514","17,851",4.15%,2.278
,1/1/1997,"42,983","41,245","1,738","18,809","9,975","7,323","1,511","18,060",3.98%,2.284
,1/1/1998,"43,421","41,645","1,776","18,940","10,075","7,357","1,508","18,217",3.82%,2.286
,1/1/1999,"43,766","41,952","1,814","19,112","10,219","7,388","1,505","18,414",3.65%,2.278
,1/1/2000,"44,032","42,180","1,852","19,245","10,310","7,433","1,502","18,574",3.49%,2.271
,4/1/2000,"44,179","42,317","1,862","19,308","10,335","7,472","1,501","18,641",3.45%,2.270
,,,,,,,,,,,
San Luis Obispo,4/1/1990,"127,046","124,717","2,329","55,593","35,332","15,475","4,786","50,879",8.48%,2.451
Incorporated,1/1/1991,"128,519","125,260","3,259","56,460","36,053","15,606","4,801","51,734",8.37%,2.421
,1/1/1992,"130,342","126,925","3,417","57,072","36,539","15,712","4,821","52,380",8.22%,2.423
,1/1/1993,"131,691","128,047","3,644","57,405","36,818","15,761","4,826","52,772",8.07%,2.426
,1/1/1994,"132,823","128,986","3,837","57,723","37,097","15,780","4,846","53,152",7.92%,2.427
,1/1/1995,"132,977","128,963","4,014","58,148","37,442","15,840","4,866","53,630",7.77%,2.405
,1/1/1996,"134,236","130,045","4,191","58,622","37,868","15,868","4,886","54,147",7.63%,2.402
,1/1/1997,"136,554","132,205","4,349","59,346","38,449","15,989","4,908","54,887",7.51%,2.409
,1/1/1998,"138,342","133,857","4,485","59,892","38,973","15,990","4,929","55,481",7.36%,2.413
,1/1/1999,"140,096","135,508","4,588","60,705","39,758","15,999","4,948","56,312",7.24%,2.406
,1/1/2000,"142,084","137,318","4,766","61,578","40,531","16,078","4,969","57,196",7.12%,2.401
,4/1/2000,"142,706","137,890","4,816","61,826","40,711","16,142","4,973","57,445",7.09%,2.400
,,,,,,,,,,,
San Luis Obispo,4/1/1990,"90,116","78,622","11,494","34,607","25,807","2,861","5,939","29,402",15.04%,2.674
Balance of County,1/1/1991,"90,801","79,317","11,484","35,189","26,321","2,868","6,000","29,966",14.84%,2.647
,1/1/1992,"91,611","80,538","11,073","35,802","26,840","2,896","6,066","30,580",14.59%,2.634
,1/1/1993,"92,834","82,226","10,608","36,260","27,253","2,910","6,097","31,062",14.34%,2.647
,1/1/1994,"94,213","83,333","10,880","36,744","27,743","2,903","6,098","31,567",14.09%,2.640
,1/1/1995,"96,183","85,508","10,675","37,296","28,278","2,917","6,101","32,128",13.86%,2.661
,1/1/1996,"97,640","86,733","10,907","37,811","28,787","2,974","6,050","32,658",13.63%,2.656
,1/1/1997,"99,139","88,224","10,915","38,280","29,276","2,957","6,047","33,150",13.40%,2.661
,1/1/1998,"100,805","89,789","11,016","38,842","29,842","2,943","6,057","33,720",13.19%,2.663
,1/1/1999,"101,987","91,067","10,920","39,450","30,432","2,939","6,079","34,329",12.98%,2.653
,1/1/2000,"103,612","92,645","10,967","40,203","31,267","2,907","6,029","35,061",12.79%,2.642
,4/1/2000,"103,975","93,220","10,755","40,449","31,450","2,901","6,098","35,294",12.74%,2.641
,,,,,,,,,,,
San Luis Obispo,4/1/1990,"217,162","203,339","13,823","90,200","61,139","18,336","10,725","80,281",11.00%,2.533
County Total,1/1/1991,"219,320","204,577","14,743","91,649","62,374","18,474","10,801","81,700",10.86%,2.504
,1/1/1992,"221,953","207,463","14,490","92,874","63,379","18,608","10,887","82,960",10.67%,2.501
,1/1/1993,"224,525","210,273","14,252","93,665","64,071","18,671","10,923","83,834",10.50%,2.508
,1/1/1994,"227,036","212,319","14,717","94,467","64,840","18,683","10,944","84,719",10.32%,2.506
,1/1/1995,"229,160","214,471","14,689","95,444","65,720","18,757","10,967","85,758",10.15%,2.501
,1/1/1996,"231,876","216,778","15,098","96,433","66,655","18,842","10,936","86,805",9.98%,2.497
,1/1/1997,"235,693","220,429","15,264","97,626","67,725","18,946","10,955","88,037",9.82%,2.504
,1/1/1998,"239,147","223,646","15,501","98,734","68,815","18,933","10,986","89,201",9.66%,2.507
,1/1/1999,"242,083","226,575","15,508","100,155","70,190","18,938","11,027","90,641",9.50%,2.500
,1/1/2000,"245,696","229,963","15,733","101,781","71,798","18,985","10,998","92,257",9.36%,2.493
,4/1/2000,"246,681","231,110","15,571","102,275","72,161","19,043","11,071","92,739",9.32%,2.492
,,,,,,,,,,,
San Mateo,4/1/1990,"7,163","6,675",488,"2,518","2,490",28,0,"2,403",4.57%,2.778
Atherton,1/1/1991,"7,008","6,587",421,"2,525","2,498",27,0,"2,412",4.48%,2.731
,1/1/1992,"7,055","6,662",393,"2,528","2,504",24,0,"2,417",4.39%,2.756
,1/1/1993,"7,078","6,694",384,"2,525","2,502",23,0,"2,415",4.36%,2.772
,1/1/1994,"7,064","6,689",375,"2,515","2,495",20,0,"2,408",4.25%,2.778
,1/1/1995,"7,083","6,717",366,"2,516","2,498",18,0,"2,411",4.17%,2.786
,1/1/1996,"7,109","6,752",357,"2,520","2,504",16,0,"2,418",4.05%,2.792
,1/1/1997,"7,147","6,799",348,"2,520","2,506",14,0,"2,421",3.93%,2.808
,1/1/1998,"7,184","6,846",338,"2,518","2,506",12,0,"2,420",3.89%,2.829
,1/1/1999,"7,190","6,861",329,"2,515","2,505",10,0,"2,420",3.78%,2.835
,1/1/2000,"7,194","6,874",320,"2,511","2,504",7,0,"2,418",3.70%,2.843
,4/1/2000,"7,194","6,876",318,"2,505","2,498",7,0,"2,413",3.67%,2.850
,,,,,,,,,,,
San Mateo,4/1/1990,"24,165","23,729",436,"10,335","6,501","3,830",4,"10,120",2.08%,2.345
Belmont,1/1/1991,"24,024","23,553",471,"10,422","6,575","3,843",4,"10,210",2.03%,2.307
,1/1/1992,"24,267","23,779",488,"10,408","6,581","3,824",3,"10,202",1.98%,2.331
,1/1/1993,"24,428","23,924",504,"10,397","6,589","3,805",3,"10,197",1.92%,2.346
,1/1/1994,"24,720","24,199",521,"10,461","6,591","3,868",2,"10,266",1.86%,2.357
,1/1/1995,"24,193","23,655",538,"10,444","6,594","3,848",2,"10,256",1.80%,2.306
