"E-8 City/County/State Population and Housing Estimates, 4/1/2000 to 4/1/2010",,,,,,,,,,,,
,,POPULATION,,, HOUSING UNITS,,,,,,,
,1/1/2003,"75,078","73,255","1,823","29,137","17,401","10,958",778,"28,124","1,013",3.48%,2.605
,1/1/2004,"74,885","73,100","1,785","29,135","17,489","10,888",758,"28,069","1,066",3.66%,2.604
,1/1/2005,"74,621","72,874","1,747","29,129","17,576","10,815",738,"28,010","1,119",3.84%,2.602
,1/1/2006,"74,663","72,954","1,709","29,130","17,657","10,756",717,"27,958","1,172",4.02%,2.609
,1/1/2007,"75,080","73,409","1,671","29,118","17,736","10,685",697,"28,081","1,037",3.56%,2.614
,1/1/2008,"75,525","73,892","1,633","29,160","17,811","10,672",677,"28,070","1,090",3.74%,2.632
,1/1/2009,"76,198","74,603","1,595","29,170","17,906","10,607",657,"28,026","1,144",3.92%,2.662
,1/1/2010,"76,766","75,209","1,557","29,167","17,996","10,534",637,"27,970","1,197",4.10%,2.689
,4/1/2010,"76,815","75,268","1,547","29,167","18,019","10,516",632,"27,957","1,210",4.15%,2.692
,,,,,,,,,,,,
San Mateo,4/1/2000,"40,165","39,944",221,"14,980","9,624","5,334",22,"14,677",303,2.02%,2.722
San Bruno,1/1/2001,"39,948","39,714",234,"14,935","9,612","5,303",20,"14,600",335,2.24%,2.720
,1/1/2002,"39,476","39,225",251,"14,873","9,594","5,261",18,"14,494",379,2.55%,2.706
,1/1/2003,"39,870","39,602",268,"15,125","9,591","5,518",16,"14,697",428,2.83%,2.695
,1/1/2004,"39,566","39,280",286,"15,078","9,587","5,477",14,"14,606",472,3.13%,2.689
,1/1/2005,"39,655","39,352",303,"15,192","9,618","5,562",12,"14,672",520,3.42%,2.682
,1/1/2006,"39,474","39,154",320,"15,142","9,613","5,520",9,"14,580",562,3.71%,2.685
,1/1/2007,"39,592","39,145",447,"15,084","9,599","5,478",7,"14,576",508,3.37%,2.686
,1/1/2008,"40,773","40,404",369,"15,435","9,581","5,849",5,"14,878",557,3.61%,2.716
,1/1/2009,"40,993","40,615",378,"15,408","9,597","5,808",3,"14,807",601,3.90%,2.743
,1/1/2010,"41,157","40,763",394,"15,372","9,605","5,766",1,"14,727",645,4.20%,2.768
,4/1/2010,"41,114","40,716",398,"15,356","9,601","5,755",0,"14,701",655,4.27%,2.770
,,,,,,,,,,,,
San Mateo,4/1/2000,"27,718","27,535",183,"11,691","8,834","2,841",16,"11,455",236,2.02%,2.404
San Carlos,1/1/2001,"27,685","27,509",176,"11,705","8,834","2,854",17,"11,445",260,2.22%,2.404
,1/1/2002,"27,551","27,384",167,"11,739","8,842","2,878",19,"11,445",294,2.50%,2.393
,1/1/2003,"27,406","27,248",158,"11,757","8,837","2,900",20,"11,431",326,2.77%,2.384
,1/1/2004,"27,343","27,194",149,"11,783","8,836","2,925",22,"11,423",360,3.06%,2.381
,1/1/2005,"27,428","27,289",139,"11,881","8,834","3,023",24,"11,487",394,3.32%,2.376
,1/1/2006,"27,473","27,343",130,"11,916","8,838","3,053",25,"11,488",428,3.59%,2.380
,1/1/2007,"27,642","27,521",121,"11,942","8,842","3,073",27,"11,556",386,3.23%,2.382
,1/1/2008,"27,923","27,811",112,"11,968","8,845","3,095",28,"11,548",420,3.51%,2.408
,1/1/2009,"28,152","28,049",103,"11,983","8,838","3,115",30,"11,531",452,3.77%,2.432
,1/1/2010,"28,393","28,300",93,"12,015","8,840","3,143",32,"11,529",486,4.04%,2.455
,4/1/2010,"28,406","28,315",91,"12,018","8,838","3,148",32,"11,524",494,4.11%,2.457
,,,,,,,,,,,,
San Mateo,4/1/2000,"92,482","91,166","1,316","38,249","21,166","17,038",45,"37,338",911,2.38%,2.442
San Mateo,1/1/2001,"92,559","91,243","1,316","38,333","21,269","17,018",46,"37,339",994,2.59%,2.444
,1/1/2002,"93,294","91,978","1,316","38,881","21,403","17,431",47,"37,767","1,114",2.87%,2.435
,1/1/2003,"93,068","91,752","1,316","39,009","21,508","17,453",48,"37,787","1,222",3.13%,2.428
,1/1/2004,"93,479","92,163","1,316","39,298","21,593","17,656",49,"37,961","1,337",3.40%,2.428
,1/1/2005,"93,396","92,080","1,316","39,425","21,695","17,680",50,"37,979","1,446",3.67%,2.424
,1/1/2006,"93,613","92,297","1,316","39,510","21,800","17,659",51,"37,955","1,555",3.94%,2.432
,1/1/2007,"94,344","93,028","1,316","39,611","21,904","17,655",52,"38,187","1,424",3.59%,2.436
,1/1/2008,"95,050","93,734","1,316","39,744","22,008","17,682",54,"38,211","1,533",3.86%,2.453
,1/1/2009,"96,170","94,854","1,316","39,888","22,107","17,726",55,"38,245","1,643",4.12%,2.480
,1/1/2010,"97,106","95,790","1,316","39,993","22,217","17,720",56,"38,240","1,753",4.38%,2.505
,4/1/2010,"97,207","95,891","1,316","40,014","22,245","17,713",56,"38,233","1,781",4.45%,2.508
,,,,,,,,,,,,
San Mateo,4/1/2000,"60,552","60,109",443,"20,138","14,300","5,429",409,"19,677",461,2.29%,3.055
South San Francisco,1/1/2001,"60,528","60,075",453,"20,224","14,394","5,426",404,"19,722",502,2.48%,3.046
,1/1/2002,"60,132","59,665",467,"20,305","14,519","5,389",397,"19,750",555,2.73%,3.021
,1/1/2003,"59,913","59,433",480,"20,429","14,703","5,335",391,"19,820",609,2.98%,2.999
,1/1/2004,"59,917","59,423",494,"20,580","14,918","5,278",384,"19,916",664,3.23%,2.984
,1/1/2005,"60,172","59,664",508,"20,832","15,118","5,336",378,"20,112",720,3.46%,2.967
,1/1/2006,"60,211","59,690",521,"20,931","15,272","5,288",371,"20,156",775,3.70%,2.961
,1/1/2007,"60,491","59,956",535,"20,998","15,404","5,230",364,"20,305",693,3.30%,2.953
,1/1/2008,"61,701","61,153",548,"21,296","15,540","5,398",358,"20,547",749,3.52%,2.976
,1/1/2009,"62,999","62,437",562,"21,640","15,684","5,605",351,"20,832",808,3.73%,2.997
,1/1/2010,"63,623","63,047",576,"21,799","15,810","5,644",345,"20,936",863,3.96%,3.011
,4/1/2010,"63,632","63,053",579,"21,814","15,842","5,629",343,"20,938",876,4.02%,3.011
,,,,,,,,,,,,
San Mateo,4/1/2000,"5,352","5,346",6,"2,030","1,997",33,0,"1,949",81,3.99%,2.743
Woodside,1/1/2001,"5,331","5,325",6,"2,038","2,003",33,2,"1,949",89,4.37%,2.732
,1/1/2002,"5,267","5,262",5,"2,044","2,009",32,3,"1,944",100,4.89%,2.707
,1/1/2003,"5,205","5,201",4,"2,049","2,013",31,5,"1,938",111,5.42%,2.684
,1/1/2004,"5,265","5,261",4,"2,096","2,060",30,6,"1,972",124,5.92%,2.668
,1/1/2005,"5,241","5,238",3,"2,112","2,074",30,8,"1,977",135,6.39%,2.649
,1/1/2006,"5,213","5,210",3,"2,119","2,081",29,9,"1,973",146,6.89%,2.641
,1/1/2007,"5,202","5,200",2,"2,120","2,081",29,10,"1,977",143,6.75%,2.630
,1/1/2008,"5,244","5,243",1,"2,135","2,096",27,12,"1,980",155,7.26%,2.648
,1/1/2009,"5,261","5,260",1,"2,142","2,102",27,13,"1,976",166,7.75%,2.662
,1/1/2010,"5,288","5,288",0,"2,154","2,113",26,15,"1,977",177,8.22%,2.675
,4/1/2010,"5,287","5,287",0,"2,157","2,116",26,15,"1,977",180,8.34%,2.674
,,,,,,,,,,,,
San Mateo,4/1/2000,"645,888","636,821","9,067","239,308","154,844","81,827","2,637","233,542","5,766",2.41%,2.727
Incorporated,1/1/2001,"645,646","636,671","8,975","239,991","155,435","81,906","2,650","233,662","6,329",2.64%,2.725
,1/1/2002,"644,106","635,284","8,822","241,543","156,169","82,738","2,636","234,451","7,092",2.94%,2.710
,1/1/2003,"642,115","633,505","8,610","242,929","156,864","83,425","2,640","235,084","7,845",3.23%,2.695
,1/1/2004,"640,479","631,988","8,491","243,757","157,577","83,541","2,639","235,158","8,599",3.53%,2.688
,1/1/2005,"639,042","630,715","8,327","244,853","158,250","83,980","2,623","235,506","9,347",3.82%,2.678
,1/1/2006,"638,153","629,837","8,316","245,213","158,718","83,895","2,600","235,137","10,076",4.11%,2.679
,1/1/2007,"640,700","632,400","8,300","245,609","159,192","83,812","2,605","236,270","9,339",3.80%,2.677
,1/1/2008,"646,946","638,898","8,048","246,914","159,779","84,541","2,594","236,828","10,086",4.08%,2.698
,1/1/2009,"652,349","644,429","7,920","247,756","160,370","84,811","2,575","236,927","10,829",4.37%,2.720
,1/1/2010,"656,895","649,179","7,716","248,448","160,914","84,976","2,558","236,882","11,566",4.66%,2.741
,4/1/2010,"656,827","649,155","7,672","248,523","161,036","84,934","2,553","236,775","11,748",4.73%,2.742
,,,,,,,,,,,,
San Mateo,4/1/2000,"61,275","59,892","1,383","21,270","18,144","2,279",847,"20,562",708,3.33%,2.913
Balance of County,1/1/2001,"62,319","60,951","1,368","21,762","18,587","2,345",830,"20,976",786,3.61%,2.906
,1/1/2002,"62,107","60,759","1,348","21,946","18,754","2,384",808,"21,071",875,3.99%,2.884
,1/1/2003,"61,899","60,572","1,327","22,112","18,894","2,432",786,"21,149",963,4.36%,2.864
,1/1/2004,"61,775","60,468","1,307","22,257","19,012","2,481",764,"21,206","1,051",4.72%,2.851
,1/1/2005,"61,308","60,021","1,287","22,296","19,032","2,522",742,"21,162","1,134",5.09%,2.836
,1/1/2006,"61,194","59,927","1,267","22,374","19,092","2,562",720,"21,155","1,219",5.45%,2.833
,1/1/2007,"61,138","59,891","1,247","22,392","19,095","2,599",698,"21,218","1,174",5.24%,2.823
,1/1/2008,"60,874","59,648","1,226","22,437","19,135","2,626",676,"21,178","1,259",5.61%,2.817
,1/1/2009,"61,469","60,263","1,206","22,471","19,151","2,667",653,"21,129","1,342",5.97%,2.852
,1/1/2010,"61,719","60,533","1,186","22,513","19,175","2,707",631,"21,087","1,426",6.33%,2.871
,4/1/2010,"61,624","60,443","1,181","22,508","19,167","2,716",625,"21,062","1,446",6.42%,2.870
,,,,,,,,,,,,
San Mateo,4/1/2000,"707,163","696,713","10,450","260,578","172,988","84,106","3,484","254,104","6,474",2.48%,2.742
County Total,1/1/2001,"707,965","697,622","10,343","261,753","174,022","84,251","3,480","254,638","7,115",2.72%,2.740
,1/1/2002,"706,213","696,043","10,170","263,489","174,923","85,122","3,444","255,522","7,967",3.02%,2.724
,1/1/2003,"704,014","694,077","9,937","265,041","175,758","85,857","3,426","256,233","8,808",3.32%,2.709
,1/1/2004,"702,254","692,456","9,798","266,014","176,589","86,022","3,403","256,364","9,650",3.63%,2.701
,1/1/2005,"700,350","690,736","9,614","267,149","177,282","86,502","3,365","256,668","10,481",3.92%,2.691
,1/1/2006,"699,347","689,764","9,583","267,587","177,810","86,457","3,320","256,292","11,295",4.22%,2.691
,1/1/2007,"701,838","692,291","9,547","268,001","178,287","86,411","3,303","257,488","10,513",3.92%,2.689
,1/1/2008,"707,820","698,546","9,274","269,351","178,914","87,167","3,270","258,006","11,345",4.21%,2.707
,1/1/2009,"713,818","704,692","9,126","270,227","179,521","87,478","3,228","258,056","12,171",4.50%,2.731
,1/1/2010,"718,614","709,712","8,902","270,961","180,089","87,683","3,189","257,969","12,992",4.79%,2.751
,4/1/2010,"718,451","709,598","8,853","271,031","180,203","87,650","3,178","257,837","13,194",4.87%,2.752
,,,,,,,,,,,,
Santa Barbara,4/1/2000,"3,828","3,822",6,"1,483",949,116,418,"1,433",50,3.37%,2.667
Buellton,1/1/2001,"3,909","3,903",6,"1,508",966,126,416,"1,456",52,3.45%,2.681
,1/1/2002,"3,976","3,971",5,"1,523",985,124,414,"1,468",55,3.61%,2.705
,1/1/2003,"4,211","4,207",4,"1,613","1,080",121,412,"1,553",60,3.72%,2.709
,1/1/2004,"4,459","4,455",4,"1,707","1,175",122,410,"1,642",65,3.81%,2.713
,1/1/2005,"4,527","4,524",3,"1,744","1,217",119,408,"1,676",68,3.90%,2.699
,1/1/2006,"4,525","4,522",3,"1,762","1,220",137,405,"1,690",72,4.09%,2.676
,1/1/2007,"4,653","4,651",2,"1,812","1,274",134,404,"1,736",76,4.19%,2.679
,1/1/2008,"4,695","4,694",1,"1,810","1,275",133,402,"1,732",78,4.31%,2.710
,1/1/2009,"4,744","4,743",1,"1,824","1,294",130,400,"1,743",81,4.44%,2.721
,1/1/2010,"4,843","4,843",0,"1,846","1,320",128,398,"1,762",84,4.55%,2.749
,4/1/2010,"4,828","4,828",0,"1,845","1,321",127,397,"1,761",84,4.55%,2.742
,,,,,,,,,,,,
Santa Barbara,4/1/2000,"14,194","14,069",125,"5,464","2,573","1,951",940,"4,989",475,8.69%,2.820
Carpinteria,1/1/2001,"14,217","14,100",117,"5,489","2,572","1,984",933,"4,998",491,8.95%,2.821
,1/1/2002,"14,140","14,034",106,"5,473","2,569","1,980",924,"4,963",510,9.32%,2.828
,1/1/2003,"13,974","13,878",96,"5,457","2,567","1,975",915,"4,929",528,9.68%,2.816
,1/1/2004,"13,815","13,730",85,"5,440","2,566","1,968",906,"4,893",547,10.06%,2.806
,1/1/2005,"13,564","13,489",75,"5,424","2,564","1,964",896,"4,859",565,10.42%,2.776
,1/1/2006,"13,260","13,196",64,"5,410","2,565","1,958",887,"4,827",583,10.78%,2.734
,1/1/2007,"13,105","13,052",53,"5,398","2,565","1,955",878,"4,795",603,11.17%,2.722
,1/1/2008,"13,121","13,078",43,"5,399","2,569","1,961",869,"4,776",623,11.54%,2.738
,1/1/2009,"13,139","13,107",32,"5,440","2,575","2,005",860,"4,793",647,11.89%,2.735
,1/1/2010,"13,133","13,111",22,"5,435","2,584","2,001",850,"4,769",666,12.25%,2.749
,4/1/2010,"13,044","13,025",19,"5,431","2,584","1,999",848,"4,761",670,12.34%,2.736
,,,,,,,,,,,,
Santa Barbara,4/1/2000,0,0,0,0,0,0,0,0,0,0.00%,0.000
Goleta,1/1/2001,0,0,0,0,0,0,0,0,0,0.00%,0.000
,1/1/2002,0,0,0,0,0,0,0,0,0,0.00%,0.000
,1/1/2003,"30,357","30,054",303,"11,401","7,133","3,647",621,"11,039",362,3.18%,2.723
,1/1/2004,"30,181","29,892",289,"11,374","7,022","3,731",621,"10,984",390,3.43%,2.721
,1/1/2005,"29,803","29,528",275,"11,347","6,911","3,815",621,"10,930",417,3.67%,2.702
,1/1/2006,"29,298","29,037",261,"11,320","6,798","3,901",621,"10,875",445,3.93%,2.670
,1/1/2007,"29,137","28,890",247,"11,305","6,689","3,995",621,"10,832",473,4.18%,2.667
,1/1/2008,"29,273","29,040",233,"11,290","6,581","4,088",621,"10,788",502,4.45%,2.692
,1/1/2009,"29,266","29,047",219,"11,304","6,480","4,203",621,"10,773",531,4.70%,2.696
,1/1/2010,"29,789","29,584",205,"11,480","6,372","4,487",621,"10,917",563,4.90%,2.710
,4/1/2010,"29,888","29,687",201,"11,473","6,344","4,508",621,"10,903",570,4.97%,2.723
,,,,,,,,,,,,
Santa Barbara,4/1/2000,"5,659","5,659",0,"1,450","1,176",268,6,"1,414",36,2.48%,4.002
Guadalupe,1/1/2001,"5,916","5,916",0,"1,517","1,239",272,6,"1,478",39,2.57%,4.003
,1/1/2002,"6,173","6,173",0,"1,583","1,300",276,7,"1,538",45,2.84%,4.014
,1/1/2003,"6,419","6,419",0,"1,655","1,360",288,7,"1,606",49,2.96%,3.997
,1/1/2004,"6,517","6,517",0,"1,689","1,385",297,7,"1,636",53,3.14%,3.983
,1/1/2005,"6,521","6,521",0,"1,709","1,401",301,7,"1,653",56,3.28%,3.945
,1/1/2006,"6,704","6,704",0,"1,783","1,417",358,8,"1,723",60,3.37%,3.891
,1/1/2007,"6,751","6,751",0,"1,805","1,432",365,8,"1,740",65,3.60%,3.880
,1/1/2008,"6,958","6,958",0,"1,851","1,447",396,8,"1,782",69,3.73%,3.905
,1/1/2009,"7,018","7,018",0,"1,872","1,463",400,9,"1,799",73,3.90%,3.901
,1/1/2010,"7,118","7,118",0,"1,892","1,479",404,9,"1,816",76,4.02%,3.920
,4/1/2010,"7,080","7,080",0,"1,887","1,483",395,9,"1,810",77,4.08%,3.912
,,,,,,,,,,,,
Santa Barbara,4/1/2000,"41,103","37,664","3,439","13,621","8,253","4,428",940,"13,059",562,4.13%,2.884
Lompoc,1/1/2001,"41,365","38,173","3,192","13,801","8,253","4,605",943,"13,196",605,4.38%,2.893
,1/1/2002,"41,456","38,284","3,172","13,812","8,254","4,611",947,"13,160",652,4.72%,2.909
,1/1/2003,"41,645","38,141","3,504","13,820","8,251","4,618",951,"13,122",698,5.05%,2.907
,1/1/2004,"42,013","38,332","3,681","13,938","8,343","4,640",955,"13,188",750,5.38%,2.907
,1/1/2005,"41,793","38,242","3,551","14,050","8,427","4,664",959,"13,249",801,5.70%,2.886
,1/1/2006,"41,352","37,927","3,425","14,139","8,493","4,683",963,"13,288",851,6.02%,2.854
,1/1/2007,"41,505","37,835","3,670","14,162","8,494","4,701",967,"13,263",899,6.35%,2.853
,1/1/2008,"42,437","38,220","4,217","14,220","8,542","4,707",971,"13,272",948,6.67%,2.880
,1/1/2009,"42,385","38,409","3,976","14,308","8,571","4,762",975,"13,310",998,6.98%,2.886
,1/1/2010,"42,560","38,837","3,723","14,397","8,578","4,840",979,"13,349","1,048",7.28%,2.909
,4/1/2010,"42,434","38,778","3,656","14,416","8,578","4,858",980,"13,355","1,061",7.36%,2.904
,,,,,,,,,,,,
Santa Barbara,4/1/2000,"89,606","87,814","1,792","37,078","19,918","16,642",518,"35,607","1,471",3.97%,2.466
Santa Barbara,1/1/2001,"89,731","87,957","1,774","37,135","20,039","16,588",508,"35,592","1,543",4.16%,2.471
,1/1/2002,"90,040","88,289","1,751","37,213","20,205","16,512",496,"35,575","1,638",4.40%,2.482
,1/1/2003,"89,704","87,977","1,727","37,257","20,369","16,405",483,"35,525","1,732",4.65%,2.476
,1/1/2004,"89,568","87,864","1,704","37,356","20,523","16,363",470,"35,528","1,828",4.89%,2.473
,1/1/2005,"88,854","87,174","1,680","37,466","20,665","16,344",457,"35,542","1,924",5.14%,2.453
,1/1/2006,"87,702","86,045","1,657","37,546","20,824","16,278",444,"35,526","2,020",5.38%,2.422
,1/1/2007,"87,619","85,916","1,703","37,661","20,982","16,247",432,"35,545","2,116",5.62%,2.417
,1/1/2008,"88,337","86,657","1,680","37,723","21,117","16,187",419,"35,563","2,160",5.73%,2.437
,1/1/2009,"88,265","86,609","1,656","37,773","21,247","16,120",406,"35,519","2,254",5.97%,2.438
,1/1/2010,"88,733","87,100","1,633","37,818","21,381","16,044",393,"35,471","2,347",6.21%,2.456
,4/1/2010,"88,410","86,783","1,627","37,820","21,412","16,018",390,"35,449","2,371",6.27%,2.448
,,,,,,,,,,,,
Santa Barbara,4/1/2000,"77,423","75,261","2,162","22,847","15,216","6,059","1,572","22,146",701,3.07%,3.398
Santa Maria,1/1/2001,"78,903","76,830","2,073","23,128","15,459","6,099","1,570","22,375",753,3.26%,3.434
,1/1/2002,"81,434","79,444","1,990","23,625","15,820","6,239","1,566","22,799",826,3.50%,3.485
,1/1/2003,"83,828","81,958","1,870","24,241","16,382","6,296","1,563","23,339",902,3.72%,3.512
,1/1/2004,"87,732","85,981","1,751","25,300","17,162","6,575","1,563","24,308",992,3.92%,3.537
,1/1/2005,"91,313","89,681","1,632","26,446","17,904","6,983","1,559","25,362","1,084",4.10%,3.536
,1/1/2006,"93,385","91,872","1,513","27,260","18,402","7,302","1,556","26,093","1,167",4.28%,3.521
,1/1/2007,"94,408","93,014","1,394","27,467","18,528","7,380","1,559","26,237","1,230",4.48%,3.545
,1/1/2008,"95,934","94,659","1,275","27,678","18,664","7,459","1,555","26,439","1,239",4.48%,3.580
,1/1/2009,"98,163","97,007","1,156","28,189","18,989","7,648","1,552","26,878","1,311",4.65%,3.609
,1/1/2010,"99,589","98,552","1,037","28,282","19,023","7,710","1,549","26,910","1,372",4.85%,3.662
,4/1/2010,"99,553","98,546","1,007","28,294","19,023","7,723","1,548","26,908","1,386",4.90%,3.662
,,,,,,,,,,,,
Santa Barbara,4/1/2000,"5,332","5,172",160,"2,288","1,450",619,219,"2,185",103,4.50%,2.367
Solvang,1/1/2001,"5,358","5,206",152,"2,312","1,468",631,213,"2,192",120,5.19%,2.375
,1/1/2002,"5,387","5,245",142,"2,336","1,482",650,204,"2,195",141,6.04%,2.390
,1/1/2003,"5,366","5,235",131,"2,353","1,491",666,196,"2,192",161,6.84%,2.388
,1/1/2004,"5,344","5,223",121,"2,369","1,497",684,188,"2,187",182,7.68%,2.388
,1/1/2005,"5,285","5,175",110,"2,383","1,504",699,180,"2,180",203,8.52%,2.374
,1/1/2006,"5,203","5,103",100,"2,398","1,511",716,171,"2,174",224,9.34%,2.347
,1/1/2007,"5,179","5,090",89,"2,413","1,519",731,163,"2,169",244,10.11%,2.347
,1/1/2008,"5,221","5,142",79,"2,435","1,533",747,155,"2,171",264,10.84%,2.368
,1/1/2009,"5,241","5,173",68,"2,465","1,555",764,146,"2,179",286,11.60%,2.374
,1/1/2010,"5,265","5,207",58,"2,481","1,564",779,138,"2,174",307,12.37%,2.395
,4/1/2010,"5,245","5,190",55,"2,485","1,566",783,136,"2,173",312,12.56%,2.388
,,,,,,,,,,,,
Santa Barbara,4/1/2000,"237,145","229,461","7,684","84,231","49,535","30,083","4,613","80,833","3,398",4.03%,2.839
Incorporated,1/1/2001,"239,399","232,085","7,314","84,890","49,996","30,305","4,589","81,287","3,603",4.24%,2.855
,1/1/2002,"242,606","235,440","7,166","85,565","50,615","30,392","4,558","81,698","3,867",4.52%,2.882
,1/1/2003,"275,504","267,869","7,635","97,797","58,633","34,016","5,148","93,305","4,492",4.59%,2.871
,1/1/2004,"279,629","271,994","7,635","99,173","59,673","34,380","5,120","94,366","4,807",4.85%,2.882
,1/1/2005,"281,660","274,334","7,326","100,569","60,593","34,889","5,087","95,451","5,118",5.09%,2.874
,1/1/2006,"281,429","274,406","7,023","101,618","61,230","35,333","5,055","96,196","5,422",5.34%,2.853
,1/1/2007,"282,357","275,199","7,158","102,023","61,483","35,508","5,032","96,317","5,706",5.59%,2.857
,1/1/2008,"285,976","278,448","7,528","102,406","61,728","35,678","5,000","96,523","5,883",5.74%,2.885
,1/1/2009,"288,221","281,113","7,108","103,175","62,174","36,032","4,969","96,994","6,181",5.99%,2.898
,1/1/2010,"291,030","284,352","6,678","103,631","62,301","36,393","4,937","97,169","6,462",6.24%,2.926
,4/1/2010,"290,482","283,917","6,565","103,651","62,311","36,411","4,929","97,120","6,531",6.30%,2.923
,,,,,,,,,,,,
Santa Barbara,4/1/2000,"162,202","153,269","8,933","58,670","43,011","11,653","4,006","55,789","2,881",4.91%,2.747
Balance of County,1/1/2001,"162,268","153,063","9,205","58,534","43,027","11,584","3,923","55,637","2,897",4.95%,2.751
,1/1/2002,"162,188","152,903","9,285","58,376","43,009","11,510","3,857","55,329","3,047",5.22%,2.764
,1/1/2003,"132,324","122,841","9,483","47,355","36,139","8,053","3,163","44,453","2,902",6.13%,2.763
,1/1/2004,"130,728","121,462","9,266","47,049","35,928","8,015","3,106","44,003","3,046",6.47%,2.760
,1/1/2005,"129,780","119,725","10,055","47,039","35,948","8,009","3,082","43,842","3,197",6.80%,2.731
,1/1/2006,"130,842","120,823","10,019","48,606","37,642","7,899","3,065","45,128","3,478",7.16%,2.677
,1/1/2007,"132,393","122,009","10,384","49,254","38,424","7,786","3,044","45,244","4,010",8.14%,2.697
,1/1/2008,"132,333","121,712","10,621","49,026","38,356","7,657","3,013","44,862","4,164",8.49%,2.713
,1/1/2009,"132,976","122,127","10,849","49,603","37,991","8,625","2,987","45,139","4,464",9.00%,2.706
,1/1/2010,"132,710","121,540","11,170","49,251","37,770","8,506","2,975","44,578","4,673",9.49%,2.726
,4/1/2010,"133,413","122,196","11,217","49,183","37,747","8,477","2,959","44,984","4,199",8.54%,2.716
,,,,,,,,,,,,
Santa Barbara,4/1/2000,"399,347","382,730","16,617","142,901","92,546","41,736","8,619","136,622","6,279",4.39%,2.801
County Total,1/1/2001,"401,667","385,148","16,519","143,424","93,023","41,889","8,512","136,924","6,500",4.53%,2.813
,1/1/2002,"404,794","388,343","16,451","143,941","93,624","41,902","8,415","137,027","6,914",4.80%,2.834
,1/1/2003,"407,828","390,710","17,118","145,152","94,772","42,069","8,311","137,758","7,394",5.09%,2.836
,1/1/2004,"410,357","393,456","16,901","146,222","95,601","42,395","8,226","138,369","7,853",5.37%,2.844
,1/1/2005,"411,440","394,059","17,381","147,608","96,541","42,898","8,169","139,293","8,315",5.63%,2.829
,1/1/2006,"412,271","395,229","17,042","150,224","98,872","43,232","8,120","141,324","8,900",5.92%,2.797
,1/1/2007,"414,750","397,208","17,542","151,277","99,907","43,294","8,076","141,561","9,716",6.42%,2.806
,1/1/2008,"418,309","400,160","18,149","151,432","100,084","43,335","8,013","141,385","10,047",6.63%,2.830
,1/1/2009,"421,197","403,240","17,957","152,778","100,165","44,657","7,956","142,133","10,645",6.97%,2.837
,1/1/2010,"423,740","405,892","17,848","152,882","100,071","44,899","7,912","141,748","11,134",7.28%,2.863
,4/1/2010,"423,895","406,113","17,782","152,834","100,058","44,888","7,888","142,104","10,730",7.02%,2.858
,,,,,,,,,,,,
Santa Clara,4/1/2000,"38,138","37,848",290,"16,286","8,812","7,197",277,"15,920",366,2.25%,2.377
Campbell,1/1/2001,"38,067","37,784",283,"16,299","8,875","7,163",261,"15,902",397,2.44%,2.376
,1/1/2002,"37,931","37,657",274,"16,358","8,973","7,118",267,"15,920",438,2.68%,2.365
,1/1/2003,"37,684","37,418",266,"16,373","9,028","7,072",273,"15,894",479,2.93%,2.354
,1/1/2004,"37,643","37,386",257,"16,429","9,124","7,026",279,"15,908",521,3.17%,2.350
,1/1/2005,"37,406","37,158",248,"16,441","9,176","6,980",285,"15,880",561,3.41%,2.340
,1/1/2006,"37,355","37,116",239,"16,454","9,228","6,935",291,"15,851",603,3.66%,2.342
,1/1/2007,"38,382","38,152",230,"16,830","9,648","6,885",297,"16,178",652,3.87%,2.358
,1/1/2008,"38,728","38,507",221,"16,903","9,715","6,885",303,"16,209",694,4.11%,2.376
,1/1/2009,"39,032","38,820",212,"16,921","9,772","6,840",309,"16,186",735,4.34%,2.398
,1/1/2010,"39,345","39,142",203,"16,951","9,842","6,794",315,"16,174",777,4.58%,2.420
,4/1/2010,"39,349","39,148",201,"16,950","9,852","6,782",316,"16,163",787,4.64%,2.422
,,,,,,,,,,,,
Santa Clara,4/1/2000,"50,602","50,154",448,"18,701","13,453","5,239",9,"18,223",478,2.56%,2.752
Cupertino,1/1/2001,"50,941","50,471",470,"18,815","13,533","5,274",8,"18,310",505,2.68%,2.756
,1/1/2002,"52,080","51,624",456,"19,309","13,964","5,338",7,"18,761",548,2.84%,2.752
,1/1/2003,"52,197","51,756",441,"19,427","14,000","5,420",7,"18,845",582,3.00%,2.746
,1/1/2004,"53,087","52,660",427,"19,779","14,077","5,696",6,"19,157",622,3.14%,2.749
,1/1/2005,"53,632","53,219",413,"20,052","14,268","5,779",5,"19,392",660,3.29%,2.744
,1/1/2006,"54,338","53,940",398,"20,289","14,456","5,829",4,"19,593",696,3.43%,2.753
,1/1/2007,"55,611","55,227",384,"20,612","14,486","6,123",3,"19,877",735,3.57%,2.778
,1/1/2008,"56,297","55,928",369,"20,707","14,532","6,173",2,"19,938",769,3.71%,2.805
,1/1/2009,"57,289","56,934",355,"20,873","14,579","6,293",1,"20,070",803,3.85%,2.837
,1/1/2010,"58,084","57,743",341,"20,975","14,603","6,372",0,"20,138",837,3.99%,2.867
,4/1/2010,"58,302","57,965",337,"21,027","14,617","6,410",0,"20,181",846,4.02%,2.872
,,,,,,,,,,,,
Santa Clara,4/1/2000,"41,464","41,034",430,"12,152","8,500","3,221",431,"11,869",283,2.33%,3.457
